SP,Clementina,347
SP,Colina,348
SP,Colômbia,349
SP,Conchal,350
SP,Conchas,351
SP,Coroados,352
SP,Coronel Macedo,353
SP,Corumbataí,354
SP,Cosmorama,355
SP,Cristais Paulista,356
SP,Cruzália,357
SP,Cunha,358
SP,Divinolândia,359
SP,Dobrada,360
SP,Dois Córregos,361
SP,Dolcinópolis,362
SP,Dourado,363
SP,Duartina,364
SP,Dumont,365
SP,Echaporã,366
SP,Eldorado,367
SP,Elias Fausto,368
SP,Estrela D'oeste,369
SP,Estrela do Norte,370
SP,Fartura,371
SP,Fernandópolis,372
SP,Fernando Prestes,373
SP,Flora Rica,374
SP,Floreal,375
SP,Flórida Paulista,376
SP,Florínia,377
SP,Francisco Morato,378
SP,Gabriel Monteiro,379
SP,Gália,380
SP,Gastão Vidigal,381
SP,General Salgado,382
SP,Getulina,383
SP,Glicério,384
SP,Guaiçara,385
SP,Guaimbê,386
SP,Guaíra,387
SP,Guapiaçu,388
SP,Guapiara,389
SP,Guará,390
SP,Guaraçaí,391
SP,Guaraci,392
SP,Guarantã,393
SP,Guararapes,394
SP,Guareí,395
SP,Guzolândia,396
SP,Iacri,397
SP,Ibirá,398
SP,Ibirarema,399
SP,Ibitinga,400
SP,Ibiúna,401
SP,Icém,402
SP,Iepê,403
SP,Igaraçu do Tietê,404
SP,Iguape,405
SP,Ilhabela,406
SP,Indiana,407
SP,Indiaporã,408
SP,Inúbia Paulista,409
SP,Ipaussu,410
SP,Iporanga,411
SP,Ipuã,412
SP,Irapuã,413
SP,Irapuru,414
SP,Itaberá,415
SP,Itaí,416
SP,Itajobi,417
SP,Itaju,418
SP,Itanhaém,419
SP,Itápolis,420
SP,Itaporanga,421
SP,Itapuí,422
SP,Itapura,423
SP,Itararé,424
SP,Itariri,425
SP,Itatinga,426
SP,Itirapina,427
SP,Itirapuã,428
SP,Itobi,429
SP,Ituverava,430
SP,Jaborandi,431
SP,Jaci,432
SP,Jales,433
SP,Jarinu,434
SP,Jeriquara,435
SP,Joanópolis,436
SP,João Ramalho,437
